,date,merchant,description,money_out,money_in,account,account_country,spending_category,type,original_currency_amount,currency,conversion_rate,merchant_town,merchant_postcode,merchant_country
0,2022-01-01 00:00:00,bunq,Interest payment,,0.09,bunq,NL,,,,euro,,,,
1,2022-01-03 00:00:00,Vattenfall Klantenservice N.V.,"515403848746 Factnr 40050983832 BTW 13,02 Termijn dec 2021 Klantnr 25131236 CRN 3015061646 Eef Kamerbeekstra 206  1095 MP AMST",75.0,,bunq,NL,,,,euro,,,,
2,2022-01-04 00:00:00,Nomzamo Ncube,,300.0,,bunq,NL,,,,euro,,,,
3,2022-01-05 00:00:00,BUDGET MOBIEL,"O226496421/+31610316325 - Onbeperkt 1 jaar incl. 3 maanden korting EUR 5,00 (kenmerk: 1200-0000-3125-9548)",15.0,,bunq,NL,,,,euro,,,,
4,2022-01-06 00:00:00,GREENCHOICE,Uw termijnnota met notanummer GC0084939194 over januari 2022 voor postcode 1095MP,43.0,,bunq,NL,,,,euro,,,,
5,2022-01-06 00:00:00,Trainmore Piet Heinkade,01-01-2022 / 31-01-2022,44.0,,bunq,NL,,,,euro,,,,
6,2022-01-11 00:00:00,Nomzamo Ncube,,250.0,,bunq,NL,,,,euro,,,,
7,2022-01-13 00:00:00,NS Groep N.V.,R010210190054 0030009239627326 NSFLEXR01_0210190054,5.1,,bunq,NL,,,,euro,,,,
8,2022-01-17 00:00:00,DITZO,7585397304 Premie periode 15-01-2022 - 14-02-2022 Ditzo Doorlopende Reisverz.,2.77,,bunq,NL,,,,euro,,,,
9,2022-01-19 00:00:00,bunq,invoice 7484677,8.99,,bunq,NL,,,,euro,,,,
10,2022-01-23 00:00:00,DHL International B.V. via WorldPay Customer Payments,21536643783 0030009332558834 Betaling op DHL Global Payment P,70.91,,bunq,NL,,,,euro,,,,
11,2022-01-23 00:00:00,NS-Schiphol 212,"NS-Schiphol 212 LUCHTHAVEN SC, NL",5.7,,bunq,NL,,,,euro,,,,
12,2022-01-24 00:00:00,ALBERT HEIJN 2211,"ALBERT HEIJN 2211 AMSTERDAM, NL",14.51,,bunq,NL,,,,euro,,,,
13,2022-01-24 00:00:00,EMAKINA.NL B.V.,Salaris Januari 2022,,3679.74,bunq,NL,,,,euro,,,,
14,2022-01-26 00:00:00,T-MOBILE THUIS B.V.,T-Mobile Thuis NTV56735 Factuur TMT1021295832,35.0,,bunq,NL,,,,euro,,,,
15,2022-01-26 00:00:00,ALBERT HEIJN 2211,"ALBERT HEIJN 2211 AMSTERDAM, NL",9.92,,bunq,NL,,,,euro,,,,
16,2022-01-26 00:00:00,Thuisbezorgd.nl via Takeaway.com,MQCLTA 0030009371716422 bestelling Natraj Indian Resta via,18.14,,bunq,NL,,,,euro,,,,
17,2022-01-26 00:00:00,BPD Woningfonds,Eef kamerbeekstraat 206,1207.0,,bunq,NL,,,,euro,,,,
